F-ECHO — JLC's RESOLVED BOM vs OURS. After uploading bom.csv,
save JLC's own resolved/matched part table out of their UI and run
  bom_legibility_check.py <this outdir>/bom.csv --echo SAVED.csv
A code JLC redirects is a SUBSTITUTION and is a FINDING, not a
convenience. C82317 -> C131025 happened on a shipped board and no
gate in this repo could have seen it.

C194142	0ZCJ0010FF2E	F1
C25741	100kΩ	R2,R5
C131394	100nF	C2
C1525	100nF	C10,C6
C84455	100uF	C7
C17408	100Ω	R12,R13
C60490	10kΩ	R10,R11
C15195	10nF	C3,C4
C15850	10uF	C11,C5,C9
C77102	10uF	C1
C25762	18kΩ	R9
C15849	1uF	C8
C25879	2.2kΩ	R4
C25768	22kΩ	R6,R7,R8
C17614	3.9kΩ	R3
C113480	324kΩ	R1
C17936	4.7kΩ	R14
C2878631	OPA1679IDR	U1
C144860	S1M-E3/61T	D1
C83846	SMBJ15A	D2
C1972959	TPD2E2U06DRLR	U3
C16430	TPS7A4901DGNR	U2
